"Institution ID","Institution Name","Current Region ID","Current Region","Current District ID","Current District","Verified Institution Location","Verified Administrative District/Council","Verified Region","Correct District ID","Source","Confidence","Action"
"200010","Dar es Salaam Tumaini University (DarTU), formerly TUDARCo","2","Dar es Salaam","2001","Dar es Salaam City","Dar es Salaam","Not established by TCU head-office field","Dar es Salaam","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"200011","Rabininsia University (RU)","2","Dar es Salaam","2001","Dar es Salaam City","Dar es Salaam","Not established by TCU head-office field","Dar es Salaam","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"200012","University of Medical Sciences and Technology (UMST)","2","Dar es Salaam","2001","Dar es Salaam City","Dar es Salaam","Not established by TCU head-office field","Dar es Salaam","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"200013","Hikmah University of East Africa (HUEA)","2","Dar es Salaam","2001","Dar es Salaam City","Dar es Salaam","Not established by TCU head-office field","Dar es Salaam","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"200014","Dar es Salaam University College of Education (DUCE)","2","Dar es Salaam","2001","Dar es Salaam City","Dar es Salaam","Not established by TCU head-office field","Dar es Salaam","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"200015","Mzumbe University – Dar es Salaam Campus College (MU – Dar es Salaam Campus College)","2","Dar es Salaam","2001","Dar es Salaam City","Dar es Salaam","Not established by TCU head-office field","Dar es Salaam","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"200016","St. Joseph University College of Health and Allied Sciences (SJCHAS)","2","Dar es Salaam","2001","Dar es Salaam City","Dar es Salaam","Not established by TCU head-office field","Dar es Salaam","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"200017","St. Augustine University of Tanzania, Dar es Salaam Centre","2","Dar es Salaam","2001","Dar es Salaam City","Dar es Salaam","Not established by TCU head-office field","Dar es Salaam","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"300001","University of Dodoma (UDOM)","3","Dodoma","3004","Dodoma City","Dodoma","Not established by TCU head-office field","Dodoma","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"300002","St. John's University of Tanzania (SJUT)","3","Dodoma","3004","Dodoma City","Dodoma","Not established by TCU head-office field","Dodoma","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"500001","University of Iringa (UoI)","5","Iringa","5002","Iringa Municipal","Iringa","Not established by TCU head-office field","Iringa","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"500002","Ruaha Catholic University (RUCU)","5","Iringa","5002","Iringa Municipal","Iringa","Not established by TCU head-office field","Iringa","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"500003","Mkwawa University College of Education (MUCE)","5","Iringa","5002","Iringa Municipal","Iringa","Not established by TCU head-office field","Iringa","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"700001","Sokoine University of Agriculture – Mizengo Pinda Campus College (SUA – MPC)","7","Katavi","7002","Mpanda Municipal","Katavi","Not established by TCU head-office field","Katavi","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"900001","Moshi Cooperative University (MoCU)","9","Kilimanjaro","9003","Moshi Municipal","Moshi","Not established by TCU head-office field","Moshi","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"900002","Mwenge Catholic University (MWECAU)","9","Kilimanjaro","9003","Moshi Municipal","Moshi","Not established by TCU head-office field","Moshi","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"900003","KCMC University","9","Kilimanjaro","9003","Moshi Municipal","Moshi","Not established by TCU head-office field","Moshi","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"900004","Stefano Moshi Memorial University College (SMMUCo)","9","Kilimanjaro","9003","Moshi Municipal","Moshi","Not established by TCU head-office field","Moshi","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"900005","Stefano Moshi Memorial University College, Mwika Centre","9","Kilimanjaro","9003","Moshi Municipal","Moshi","Not established by TCU head-office field","Moshi","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"900006","Mwenge Catholic University, Hedaru Campus College (MWECAU-HCC)","9","Kilimanjaro","9006","Same","Moshi","Not established by TCU head-office field","Moshi","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"130001","Mbeya University of Science and Technology (MUST)","13","Mbeya","13006","Mbeya City","Mbeya","Not established by TCU head-office field","Mbeya","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"130002","Teofilo Kisanji University (TEKU)","13","Mbeya","13006","Mbeya City","Mbeya","Not established by TCU head-office field","Mbeya","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"130003","Catholic University of Mbeya (CUoM), formerly CUCoM","13","Mbeya","13006","Mbeya City","Mbeya","Not established by TCU head-office field","Mbeya","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"130004","Mzumbe University – Mbeya Campus College (MU – Mbeya Campus College)","13","Mbeya","13006","Mbeya City","Mbeya","Not established by TCU head-office field","Mbeya","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"130005","Mbeya College of Health and Allied Sciences (MCHAS)","13","Mbeya","13006","Mbeya City","Mbeya","Not established by TCU head-office field","Mbeya","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"140001","Sokoine University of Agriculture (SUA)","14","Morogoro","14007","Morogoro Municipal","Morogoro","Not established by TCU head-office field","Morogoro","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"140002","Mzumbe University (MU)","14","Morogoro","14007","Morogoro Municipal","Morogoro","Not established by TCU head-office field","Morogoro","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"140003","Muslim University of Morogoro (MUM)","14","Morogoro","14007","Morogoro Municipal","Morogoro","Not established by TCU head-office field","Morogoro","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"140004","Jordan University College (JUCo)","14","Morogoro","14007","Morogoro Municipal","Morogoro","Not established by TCU head-office field","Morogoro","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"140005","St. Francis University College of Health and Allied Sciences (SFUCHAS)","14","Morogoro","14007","Morogoro Municipal","Morogoro","Not established by TCU head-office field","Morogoro","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"150001","Stella Maris Mtwara University College (STeMMUCo)","15","Mtwara","15004","Mtwara Municipal","Mtwara","Not established by TCU head-office field","Mtwara","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"150002","Mbeya University of Science and Technology – Mtwara Campus College of Technical Education (MUST – MCCTE)","15","Mtwara","15004","Mtwara Municipal","Mtwara","Not established by TCU head-office field","Mtwara","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"160001","St. Augustine University of Tanzania (SAUT)","16","Mwanza","16006","Mwanza City","Mwanza","Not established by TCU head-office field","Mwanza","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"160002","Catholic University of Health and Allied Sciences (CUHAS)","16","Mwanza","16006","Mwanza City","Mwanza","Not established by TCU head-office field","Mwanza","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"160003","Mwanza University (MzU)","16","Mwanza","16006","Mwanza City","Mwanza","Not established by TCU head-office field","Mwanza","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"210001","Mbeya University of Science and Technology – Rukwa Campus College (MUST – RC)","21","Rukwa","21002","Nkasi","Rukwa","Not established by TCU head-office field","Rukwa","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"230001","Kizumbi Institute of Cooperative Business Education (KICoB)","23","Shinyanga","23004","Shinyanga","Shinyanga","Not established by TCU head-office field","Shinyanga","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"270001","Archbishop Mihayo University College of Tabora (AMUCTA)","27","Tabora","27006","Tabora Municipal","Tabora","Not established by TCU head-office field","Tabora","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"310001","State University of Zanzibar (SUZA)","31","Zanzibar West","31001","Magharibi A","Zanzibar","Not established by TCU head-office field","Zanzibar","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"310002","Abdulrahman Al-Sumait University (SUMAIT)","31","Zanzibar West","31001","Magharibi A","Zanzibar","Not established by TCU head-office field","Zanzibar","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"310003","Zanzibar University (ZU)","31","Zanzibar West","31001","Magharibi A","Zanzibar","Not established by TCU head-office field","Zanzibar","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"310004","Institute of Marine Sciences (IMS)","31","Zanzibar West","31001","Magharibi A","Zanzibar","Not established by TCU head-office field","Zanzibar","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"120001","Mwalimu Nyerere University of Agriculture and Technology (MNUAT)","12","Mara","12005","Musoma Municipal","Musoma","Not established by TCU head-office field","Musoma","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
"200018","University of Medical Sciences and Technology (UMST)","2","Dar es Salaam","2001","Dar es Salaam City","Dar es Salaam","Not established by TCU head-office field","Dar es Salaam","","https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania","Medium","REQUIRES_MANUAL_REVIEW"
